Week,Department,Model,Weekly_Cost,Weekly_Tokens,Avg_Latency,Cache_Hit_Rate,Success_Rate,Dept_Total_Cost,Dept_Avg_Latency,Dept_Cache_Rate
2025-01-01,Marketing,Claude-3-Sonnet,0.81,100789,511.3,0.133,0.939,3.42,684.1,0.146
2025-07-02,Customer_Support,Llama-3-70B,0.06,63664,318.7,0.235,0.885,2.19,460.4,0.25
2025-05-14,Customer_Support,GPT-3.5-Turbo,0.68,338832,438.2,0.198,0.913,2.15,422.5,0.232
2025-12-03,Engineering,Claude-3-Opus,5.56,222567,1124.3,0.384,0.951,14.94,769.7,0.393
2025-12-24,Engineering,Llama-3-70B,0.06,64219,291.9,0.47,0.886,13.36,757,0.457
2025-07-23,Product,Claude-3-Opus,4.41,176570,1178.2,0.299,0.967,12.35,952.3,0.297
2025-04-02,Marketing,GPT-3.5-Turbo,0.19,94092,340.3,0.231,0.928,4.29,656.5,0.218
2025-10-29,Legal,Claude-3-Opus,1.15,45961,1034.6,0.334,0.953,3.37,1189.3,0.346
2025-04-16,Engineering,Claude-3-Opus,7.36,294553,1161.6,0.182,0.962,20.06,821.3,0.201
2025-03-12,Sales,Gemini-Pro,1.14,57025,962,0.219,0.946,2.12,639.6,0.199
2025-05-07,Marketing,GPT-3.5-Turbo,0.18,87934,422.9,0.23,0.917,3.9,795.9,0.236
2025-07-02,Finance,Claude-3-Opus,1.54,61500,1157.1,0.231,0.964,5.68,1102.3,0.288
2025-09-03,Product,GPT-3.5-Turbo,0.15,73713,362.4,0.312,0.927,8.4,869.4,0.334
2025-09-10,Data_Science,GPT-4,5.4,180119,1208.9,0.321,0.979,8.78,820.1,0.32
2025-07-16,Marketing,GPT-4,2.37,78936,1306.6,0.254,0.97,3.35,783.5,0.279
2025-02-05,Product,GPT-3.5-Turbo,0.26,132299,369.4,0.189,0.928,13.28,924.1,0.184
2025-03-12,Legal,Claude-3-Opus,1.93,77300,1109.8,0.233,0.97,5.61,1221.2,0.208
2025-02-05,Legal,Claude-3-Opus,1.67,66693,946.2,0.173,0.969,5.07,1074.2,0.166
2025-07-02,Engineering,Claude-3-Opus,5.87,234865,1105.2,0.22,0.951,17.78,749.4,0.275
2025-04-30,Data_Science,GPT-4,9.62,320505,1066.2,0.186,0.965,16.52,843.3,0.236
2025-03-26,Engineering,GPT-4,25.55,851660,1072.8,0.237,0.974,44.2,729.5,0.215
2025-11-19,Engineering,Llama-3-70B,0.06,64527,265,0.39,0.897,12.81,729.2,0.362
2025-07-09,Customer_Support,GPT-3.5-Turbo,0.61,305708,365.8,0.331,0.922,1.77,400.4,0.28
2025-05-14,Marketing,Claude-3-Sonnet,1,125015,531.6,0.222,0.942,3.9,652.5,0.226
2025-01-29,Sales,GPT-3.5-Turbo,0.28,140681,450.1,0.16,0.921,1.93,702.3,0.167
2025-07-09,Marketing,GPT-4,2.89,96482,1110.5,0.243,0.964,4.13,700,0.258
2025-12-03,Sales,GPT-3.5-Turbo,0.2,100242,456,0.329,0.927,1.54,704.4,0.377
2025-07-30,Sales,GPT-3.5-Turbo,0.28,138426,434,0.325,0.928,1.93,728.5,0.339
2025-04-16,Engineering,Claude-3-Sonnet,1.53,191480,527.2,0.21,0.945,20.06,821.3,0.201
2025-01-29,Engineering,Llama-3-70B,0.07,73524,337.1,0.16,0.893,14.97,848.5,0.167
2025-08-13,Product,Claude-3-Opus,3.01,120560,1229.6,0.331,0.952,9.07,873.1,0.312
2025-08-27,Data_Science,GPT-4,7.43,247736,1215.1,0.251,0.969,12.33,905.9,0.285
2025-07-30,Marketing,GPT-4,2.77,92458,1090.8,0.293,0.967,3.81,686.4,0.286
2025-02-12,Data_Science,Llama-3-70B,0.2,199762,340.6,0.201,0.882,13.72,926.2,0.198
2025-10-01,Engineering,GPT-4,13.96,465485,1211.5,0.347,0.969,24.22,844.3,0.327
2025-03-12,Customer_Support,GPT-3.5-Turbo,0.87,434186,375.9,0.159,0.926,2.95,425.2,0.173
2025-11-26,Customer_Support,GPT-3.5-Turbo,0.63,313955,422.5,0.351,0.927,2.16,434.8,0.368
2025-02-05,Finance,Gemini-Pro,0.97,48360,1075.8,0.141,0.946,6.1,1105.5,0.186
2025-03-05,Product,GPT-3.5-Turbo,0.22,107653,412.7,0.173,0.926,12.76,892.8,0.202
2025-02-26,Product,GPT-3.5-Turbo,0.24,118073,441.4,0.187,0.929,14.74,911.7,0.176
2025-10-22,Marketing,GPT-3.5-Turbo,0.16,81451,375.3,0.356,0.92,3.27,738,0.395
2025-04-23,Sales,Gemini-Pro,1.31,65392,1005,0.192,0.944,2.4,663.4,0.21
2025-07-16,Marketing,Claude-3-Sonnet,0.81,101569,584.5,0.284,0.946,3.35,783.5,0.279
2025-11-26,Sales,GPT-3.5-Turbo,0.19,96372,421,0.405,0.919,1.42,612.6,0.386
2025-09-17,Finance,Gemini-Pro,0.63,31607,993.3,0.376,0.949,4.21,1078.7,0.335
2025-01-01,Finance,Gemini-Pro,0.81,40512,1124.2,0.131,0.954,5.39,1216.5,0.13
2025-11-12,Engineering,Claude-3-Opus,4.8,192147,1045.5,0.377,0.962,13.47,795.8,0.338
2025-06-25,Customer_Support,GPT-3.5-Turbo,0.67,335908,384.3,0.217,0.925,1.94,394.7,0.253
2025-06-11,Marketing,GPT-4,2.54,84596,1052.1,0.231,0.98,3.63,647,0.232
2025-04-16,Marketing,GPT-3.5-Turbo,0.19,95574,340.8,0.246,0.925,4.19,691.7,0.237
2025-06-18,Finance,Gemini-Pro,0.83,41399,940.6,0.291,0.949,5.51,997,0.25
2025-09-10,Product,Claude-3-Opus,2.58,103072,1226.3,0.279,0.968,7.81,909.6,0.312
2025-11-26,Engineering,GPT-4,10.7,356511,1108.7,0.389,0.964,19.06,742.4,0.373
2025-01-22,Product,GPT-4,8.87,295826,1310.2,0.137,0.98,14.15,898.5,0.155
2025-02-26,Engineering,Claude-3-Opus,7.58,303201,1047.8,0.164,0.963,21.37,746.6,0.167
2025-12-24,Legal,GPT-4,3.12,103965,1278.2,0.376,0.979,4.68,1148.7,0.425
2025-06-25,Finance,Claude-3-Opus,1.25,49977,1051.9,0.304,0.97,4.73,1132.8,0.311
2025-11-05,Legal,GPT-4,1.81,60402,1322.5,0.415,0.968,2.86,1163.6,0.364
2025-10-15,Marketing,Claude-3-Sonnet,0.65,81429,646.5,0.322,0.935,2.72,703.9,0.351
2025-03-05,Engineering,Claude-3-Sonnet,1.76,220244,609.8,0.228,0.944,21.6,834.7,0.2
2025-05-28,Engineering,Llama-3-70B,0.09,93433,292.7,0.22,0.892,19.87,770.5,0.255
2025-07-09,Legal,Claude-3-Opus,1.45,57872,1159.6,0.327,0.951,4.26,1212.7,0.296
2025-12-03,Finance,GPT-4,2.87,95684,1126,0.395,0.963,5.22,1006.7,0.372
2025-08-13,Data_Science,Llama-3-70B,0.2,197676,270.8,0.32,0.888,13.85,805.6,0.301
2025-05-14,Sales,GPT-3.5-Turbo,0.23,114080,447.5,0.242,0.927,1.86,650.4,0.237
2025-10-01,Sales,Gemini-Pro,0.83,41405,1076.2,0.388,0.95,1.58,699.5,0.342
2025-02-12,Data_Science,GPT-4,8.56,285186,1339.4,0.189,0.974,13.72,926.2,0.198
2025-12-17,Customer_Support,Llama-3-70B,0.05,51078,335.8,0.346,0.894,1.85,467,0.408
2025-08-06,Sales,GPT-3.5-Turbo,0.22,110707,431.6,0.269,0.915,1.69,701,0.312
2025-02-12,Product,GPT-3.5-Turbo,0.22,111148,341.5,0.189,0.921,12.14,930,0.161
2025-06-04,Engineering,Llama-3-70B,0.08,80674,293.3,0.253,0.89,15.89,760.6,0.245
2025-12-10,Customer_Support,GPT-3.5-Turbo,0.69,342993,415.6,0.442,0.928,2.14,416.2,0.403
2025-04-30,Sales,Gemini-Pro,1.12,56117,1008.4,0.264,0.942,2.06,687.8,0.234
2025-12-03,Legal,Claude-3-Opus,1.21,48294,976.6,0.305,0.97,3.64,1061.8,0.34
2025-06-11,Engineering,GPT-4,11.13,371139,1109.7,0.219,0.962,19.65,779.5,0.253
2025-02-12,Legal,Claude-3-Opus,1.5,60007,1194,0.187,0.955,3.88,1116,0.183
2025-03-26,Sales,GPT-3.5-Turbo,0.38,187753,342.2,0.233,0.913,2.71,696.4,0.211
2025-05-07,Customer_Support,GPT-3.5-Turbo,0.94,470335,408.9,0.226,0.923,3.03,444.8,0.218
2025-03-05,Customer_Support,Claude-3-Sonnet,1.85,230923,656.1,0.156,0.945,2.83,462.8,0.178
2025-07-02,Customer_Support,Claude-3-Sonnet,1.4,174973,630.2,0.223,0.941,2.19,460.4,0.25
2025-04-30,Marketing,GPT-4,3.15,105161,1175.9,0.223,0.976,4.53,739.3,0.234
2025-05-14,Sales,Gemini-Pro,1.03,51717,954.6,0.235,0.952,1.86,650.4,0.237
2025-03-26,Finance,Claude-3-Opus,1.82,72904,1087.4,0.221,0.959,6.17,1096.2,0.206
2025-04-09,Data_Science,GPT-4,9.32,310600,1185.8,0.201,0.968,15.31,881.6,0.23
2025-12-10,Sales,GPT-3.5-Turbo,0.21,105149,441.2,0.451,0.926,1.53,647.9,0.431
2025-04-23,Marketing,GPT-3.5-Turbo,0.22,107928,390.1,0.211,0.929,5.14,683.2,0.248
2025-12-24,Engineering,Claude-3-Sonnet,0.94,117855,630.1,0.456,0.949,13.36,757,0.457
2025-10-08,Finance,GPT-4,3.88,129500,1171.6,0.352,0.962,7.04,1180.1,0.356
2025-11-05,Data_Science,GPT-4,8.22,274095,1145.9,0.433,0.965,13.17,810.3,0.403
2025-03-19,Finance,Gemini-Pro,1.04,52104,881,0.211,0.949,7.6,1044.4,0.209
2025-10-29,Sales,Claude-3-Sonnet,0.5,63078,639.9,0.423,0.946,1.72,668.7,0.342
2025-08-13,Customer_Support,Llama-3-70B,0.05,49969,329.2,0.341,0.894,1.73,411.3,0.333
2025-06-11,Finance,Claude-3-Opus,1.41,56304,961.6,0.224,0.955,5.49,1068.9,0.268
2025-10-15,Legal,GPT-4,2.39,79650,1110.2,0.373,0.969,3.61,1079.5,0.381
2025-08-13,Marketing,Claude-3-Sonnet,0.84,104746,560,0.307,0.948,3.46,735.7,0.283
2025-01-15,Customer_Support,Claude-3-Sonnet,1.64,205411,593.1,0.16,0.935,2.49,422.6,0.146
2025-02-19,Product,GPT-4,7.72,257476,1060.5,0.171,0.969,11.86,882.9,0.18
2025-01-01,Legal,Claude-3-Opus,1.73,69010,1011.4,0.147,0.958,4.96,1169,0.162
2025-04-30,Customer_Support,Claude-3-Sonnet,1.98,247952,672.4,0.231,0.945,3.07,473,0.259
2025-04-23,Engineering,GPT-4,12.37,412427,1167.2,0.259,0.972,21.21,802.8,0.219
2025-08-27,Engineering,GPT-4,9.12,303971,1098.2,0.364,0.973,15.7,802,0.301
2025-10-15,Marketing,GPT-3.5-Turbo,0.13,64206,352.3,0.407,0.93,2.72,703.9,0.351
2025-06-25,Customer_Support,Llama-3-70B,0.05,50915,284.1,0.285,0.895,1.94,394.7,0.253
2025-05-14,Finance,GPT-4,4,133302,1203.9,0.225,0.976,7,1111.4,0.254
2025-07-23,Customer_Support,Llama-3-70B,0.05,51029,263,0.296,0.899,2.12,400.8,0.268
2025-12-24,Data_Science,GPT-4,8.25,275033,1222.9,0.364,0.962,14.45,864.1,0.409
2025-12-10,Data_Science,Claude-3-Opus,4.76,190573,1243,0.338,0.951,13.24,887,0.343
2025-07-23,Finance,Gemini-Pro,0.57,28684,916.1,0.332,0.946,4.03,1009.8,0.309
2025-05-07,Customer_Support,Claude-3-Sonnet,2.02,252148,637.6,0.234,0.949,3.03,444.8,0.218
2025-05-21,Customer_Support,Llama-3-70B,0.08,84257,320.2,0.287,0.899,3.07,475.7,0.248
2025-02-26,Customer_Support,Claude-3-Sonnet,1.46,181899,578.2,0.204,0.942,2.21,406.6,0.191
2025-01-08,Data_Science,GPT-4,10.61,353615,1377.2,0.158,0.963,17.14,968.4,0.162
2025-03-12,Data_Science,Claude-3-Opus,6.45,258158,1195.2,0.184,0.955,16.66,889.9,0.182
2025-04-02,Legal,GPT-4,2.66,88812,1141.9,0.215,0.96,4.38,1082.6,0.219
2025-11-19,Customer_Support,GPT-3.5-Turbo,0.47,236264,449.5,0.322,0.912,1.61,489.1,0.322
2025-05-14,Marketing,GPT-3.5-Turbo,0.2,98023,349,0.215,0.922,3.9,652.5,0.226
2025-09-24,Product,GPT-3.5-Turbo,0.27,137085,383.5,0.338,0.914,16.35,894.2,0.353
2025-11-05,Data_Science,Llama-3-70B,0.19,189309,273.4,0.411,0.892,13.17,810.3,0.403
2025-03-12,Product,GPT-3.5-Turbo,0.21,103439,410.1,0.178,0.925,12.01,972.8,0.202
2025-09-10,Sales,Claude-3-Sonnet,0.51,64282,602.9,0.27,0.936,1.59,673.6,0.292
2025-02-26,Sales,GPT-3.5-Turbo,0.33,164945,410.7,0.187,0.923,2.17,600.9,0.183
2025-01-08,Legal,Claude-3-Opus,1.24,49618,1017.6,0.146,0.963,3.71,1080.7,0.159
2025-04-02,Finance,Gemini-Pro,1.03,51515,854.7,0.194,0.944,7.32,1060.9,0.211
2025-08-06,Engineering,Llama-3-70B,0.08,80762,265.1,0.327,0.899,16.07,842.9,0.306
2025-01-29,Data_Science,Claude-3-Opus,7.07,282782,955.9,0.173,0.961,17.46,856,0.18
2025-04-23,Finance,Claude-3-Opus,1.8,72098,1245.3,0.233,0.956,6.2,1064,0.234
2025-10-29,Marketing,Claude-3-Sonnet,0.73,91009,561,0.291,0.949,3.01,766.5,0.341
2025-07-23,Legal,Claude-3-Opus,1.23,49044,1101.7,0.326,0.959,3.11,1150.3,0.321
2025-01-15,Finance,Gemini-Pro,0.9,45016,1027.7,0.135,0.947,5.55,1021.9,0.147
2025-10-08,Product,GPT-3.5-Turbo,0.36,179034,407.7,0.348,0.927,21.33,845.8,0.325
2025-03-19,Engineering,Llama-3-70B,0.09,89038,325.9,0.206,0.897,19.47,787.6,0.212
2025-12-17,Sales,GPT-3.5-Turbo,0.3,149639,419,0.327,0.926,2.15,642.5,0.403
2025-07-23,Marketing,GPT-3.5-Turbo,0.16,77565,434,0.283,0.912,2.93,830.1,0.287
2025-07-09,Customer_Support,Claude-3-Sonnet,1.11,138877,540.9,0.224,0.941,1.77,400.4,0.28
2025-12-10,Customer_Support,Claude-3-Sonnet,1.39,174128,521.3,0.44,0.934,2.14,416.2,0.403
2025-10-22,Engineering,GPT-4,8.27,275733,1092.2,0.42,0.976,14.98,788.9,0.376
2025-01-29,Customer_Support,Llama-3-70B,0.07,70693,316.4,0.167,0.891,2.59,444.5,0.166
2025-01-29,Customer_Support,GPT-3.5-Turbo,0.87,434266,434.9,0.161,0.919,2.59,444.5,0.166
2025-07-16,Finance,GPT-4,2.76,91897,1149,0.284,0.962,4.71,1143.8,0.312
2025-02-19,Data_Science,GPT-4,10.35,344948,1344.4,0.156,0.961,16.51,918.8,0.172
2025-05-14,Legal,Claude-3-Opus,1.34,53733,1209.4,0.244,0.955,3.96,1273.8,0.229
2025-02-05,Sales,Gemini-Pro,1.12,55916,995.7,0.152,0.958,2.1,680.4,0.156
2025-12-24,Sales,Gemini-Pro,0.89,44692,950.4,0.392,0.946,1.62,665,0.394
2025-09-10,Data_Science,Claude-3-Opus,3.25,129935,962.2,0.343,0.967,8.78,820.1,0.32
2025-01-08,Sales,Gemini-Pro,1.04,51954,1036.4,0.164,0.943,1.96,674.3,0.15
2025-01-01,Customer_Support,Claude-3-Sonnet,1.53,190692,539.2,0.124,0.939,2.38,427.8,0.141
2025-03-26,Product,Claude-3-Opus,9.87,394826,1096.4,0.175,0.96,28.5,901.4,0.196
2025-10-01,Engineering,Llama-3-70B,0.1,100747,321,0.281,0.889,24.22,844.3,0.327
2025-09-03,Engineering,Llama-3-70B,0.08,78824,333.9,0.335,0.9,16.44,845.4,0.329
2025-12-03,Legal,GPT-4,2.43,81152,1147,0.374,0.961,3.64,1061.8,0.34
2025-12-24,Legal,Claude-3-Opus,1.56,62447,1019.2,0.474,0.963,4.68,1148.7,0.425
2025-05-14,Legal,GPT-4,2.61,87066,1338.2,0.215,0.965,3.96,1273.8,0.229
2025-07-30,Engineering,Claude-3-Sonnet,1.37,170983,617.4,0.326,0.937,17.6,776,0.272
2025-08-06,Finance,Gemini-Pro,0.87,43702,1096.6,0.309,0.952,5.57,1091.9,0.293
2025-11-19,Legal,Claude-3-Opus,1.43,57214,1208.9,0.433,0.956,3.73,1240.9,0.366
2025-01-15,Data_Science,Llama-3-70B,0.26,256412,261.8,0.189,0.899,16.19,833.2,0.169
2025-03-12,Legal,GPT-4,3.68,122590,1332.6,0.184,0.971,5.61,1221.2,0.208
2025-03-19,Product,Claude-3-Opus,4.49,179609,1219.6,0.23,0.952,12.57,965.2,0.228
2025-03-12,Marketing,GPT-3.5-Turbo,0.2,102159,397.5,0.214,0.915,4.09,679.9,0.202
2025-05-14,Sales,Claude-3-Sonnet,0.6,75071,549.2,0.234,0.939,1.86,650.4,0.237
2025-07-23,Finance,GPT-4,2.37,78890,1082.3,0.31,0.961,4.03,1009.8,0.309
2025-04-16,Marketing,Claude-3-Sonnet,0.96,119749,519,0.213,0.948,4.19,691.7,0.237
2025-04-09,Marketing,GPT-3.5-Turbo,0.22,108791,437,0.199,0.915,5.32,786.7,0.205
2025-12-17,Finance,Claude-3-Opus,1.46,58570,1101.4,0.414,0.957,4.86,1018.3,0.379
2025-04-09,Sales,Claude-3-Sonnet,0.84,104393,642,0.224,0.939,2.51,672.1,0.223
2025-05-21,Marketing,Claude-3-Sonnet,1.24,154838,600.8,0.199,0.935,4.8,691.6,0.218
2025-05-21,Data_Science,GPT-4,10.45,348397,1164.7,0.241,0.964,17.26,897.4,0.263
2025-10-22,Product,GPT-3.5-Turbo,0.15,72808,444.7,0.422,0.921,9.04,885.5,0.403
2025-01-22,Sales,Gemini-Pro,1.03,51644,1061,0.168,0.949,2.01,671.5,0.151
2025-06-11,Engineering,Llama-3-70B,0.09,93795,312.2,0.297,0.883,19.65,779.5,0.253
2025-01-15,Finance,GPT-4,3.08,102677,1065.6,0.159,0.971,5.55,1021.9,0.147
2025-01-29,Finance,Gemini-Pro,0.71,35335,942.7,0.162,0.945,4.91,1158.9,0.171
2025-10-29,Data_Science,GPT-4,5.53,184421,1091.4,0.39,0.974,9.05,785.7,0.38
2025-08-27,Finance,GPT-4,2.25,74895,1199.6,0.266,0.965,3.88,1080.6,0.295
2025-09-10,Customer_Support,GPT-3.5-Turbo,0.64,321382,394.8,0.293,0.917,1.84,444,0.291
2025-08-27,Customer_Support,Llama-3-70B,0.05,49094,314.8,0.268,0.897,1.96,423.4,0.314
2025-05-07,Product,GPT-4,9.71,323618,1058.8,0.258,0.965,14.95,859.5,0.253
2025-08-06,Product,Claude-3-Opus,3.2,128195,1013.4,0.331,0.959,10.34,903.5,0.286
2025-07-23,Engineering,Llama-3-70B,0.08,75777,322.5,0.337,0.885,16.6,814.1,0.297
2025-04-16,Marketing,GPT-4,3.04,101402,1215.2,0.253,0.979,4.19,691.7,0.237
2025-06-11,Sales,Gemini-Pro,1.22,60957,1059.1,0.266,0.95,2.11,691.9,0.239
2025-04-09,Finance,GPT-4,3.14,104810,1249.9,0.174,0.966,5.46,1055.7,0.218
2025-04-30,Sales,Claude-3-Sonnet,0.66,82264,664.6,0.196,0.942,2.06,687.8,0.234
2025-02-26,Product,GPT-4,9.15,305099,1106.2,0.159,0.965,14.74,911.7,0.176
2025-05-21,Sales,GPT-3.5-Turbo,0.25,123035,425.1,0.211,0.926,1.65,634.5,0.224
2025-02-12,Customer_Support,Llama-3-70B,0.07,66088,259.8,0.201,0.899,2.78,400.3,0.186
2025-06-25,Finance,Gemini-Pro,0.69,34375,1048.4,0.315,0.956,4.73,1132.8,0.311
2025-11-26,Finance,Claude-3-Opus,1.56,62278,1115.7,0.43,0.951,5.61,1122.6,0.371
2025-01-29,Data_Science,GPT-4,10.15,338375,1303.1,0.171,0.974,17.46,856,0.18
2025-05-07,Legal,Claude-3-Opus,1.89,75469,1171,0.268,0.969,5.51,1127.5,0.247
2025-06-25,Data_Science,GPT-4,9.53,317752,1143,0.292,0.963,15.44,836.8,0.262
2025-03-19,Data_Science,GPT-4,12.53,417676,1227,0.19,0.979,19.47,914.4,0.214
2025-12-03,Engineering,GPT-4,8.22,273915,1076.1,0.455,0.98,14.94,769.7,0.393
2025-01-22,Finance,GPT-4,3.03,101099,1290.9,0.157,0.973,5.48,1146.5,0.163
2025-10-29,Finance,GPT-4,2.48,82741,1169.9,0.425,0.967,4.51,1096.3,0.368
2025-05-21,Engineering,GPT-4,11.3,376507,1205.1,0.225,0.978,20.67,799.4,0.233
2025-04-23,Product,GPT-4,8.79,292940,1291.9,0.19,0.971,13.25,938.2,0.221
2025-11-05,Sales,Claude-3-Sonnet,0.47,58748,628.2,0.318,0.94,1.44,689.1,0.329
2025-07-16,Legal,GPT-4,3.18,106134,1029.2,0.286,0.97,4.8,1035.2,0.283
2025-08-27,Legal,Claude-3-Opus,1.23,49229,1255.3,0.263,0.967,3.47,1211.2,0.268
2025-06-18,Customer_Support,Claude-3-Sonnet,1.45,181821,639.1,0.29,0.935,2.25,429.5,0.278
2025-12-24,Data_Science,Llama-3-70B,0.2,198536,307.3,0.443,0.899,14.45,864.1,0.409
2025-04-02,Sales,GPT-3.5-Turbo,0.3,151442,344.2,0.194,0.916,2.06,650.3,0.203
2025-09-17,Product,GPT-3.5-Turbo,0.15,76521,349.4,0.323,0.924,10.11,842.9,0.335
2025-09-03,Data_Science,Claude-3-Opus,4.77,190882,1177.8,0.358,0.955,12.25,941.7,0.312
2025-02-19,Product,Claude-3-Opus,3.92,156716,1138.2,0.203,0.968,11.86,882.9,0.18
2025-02-12,Finance,GPT-4,3.76,125254,1117.7,0.211,0.975,6.93,1083.1,0.187
2025-12-10,Marketing,GPT-4,2.82,94099,1221.8,0.335,0.962,3.97,692.3,0.383
2025-02-12,Legal,GPT-4,2.38,79356,1038,0.18,0.964,3.88,1116,0.183
2025-08-13,Legal,Claude-3-Opus,1.61,64546,942.5,0.35,0.955,4.22,1040,0.302
2025-01-29,Engineering,GPT-4,7.87,262378,1261.9,0.174,0.962,14.97,848.5,0.167
2025-08-06,Marketing,GPT-4,2.14,71167,1223.1,0.353,0.969,3.11,730.8,0.3
2025-10-08,Engineering,Claude-3-Opus,11.7,467917,965.4,0.344,0.955,33.73,771.8,0.379
2025-08-20,Legal,GPT-4,2.28,75949,1113.1,0.261,0.97,3.53,1079.4,0.298
2025-10-08,Marketing,GPT-3.5-Turbo,0.14,69156,375.2,0.281,0.926,3.09,736.2,0.297
2025-01-22,Finance,Gemini-Pro,0.82,41142,1011.9,0.142,0.946,5.48,1146.5,0.163
2025-12-24,Finance,Claude-3-Opus,1.11,44357,1038,0.445,0.955,4.29,1128.8,0.414
2025-10-15,Sales,Gemini-Pro,0.72,35850,868.3,0.329,0.954,1.38,615.1,0.354
2025-03-26,Finance,GPT-4,3.53,117507,1263.3,0.167,0.963,6.17,1096.2,0.206
2025-04-16,Sales,Claude-3-Sonnet,0.62,77653,538.3,0.262,0.947,1.99,669,0.232
2025-06-25,Data_Science,Llama-3-70B,0.23,233856,342.2,0.267,0.899,15.44,836.8,0.262
2025-07-16,Product,GPT-4,6.53,217641,1355,0.293,0.978,10.11,919.9,0.294
2025-02-12,Product,Claude-3-Opus,4.4,175939,1113.6,0.148,0.964,12.14,930,0.161
2025-12-24,Product,GPT-4,8.82,294094,1128,0.377,0.976,12.93,903.5,0.395
2025-07-02,Legal,Claude-3-Opus,1.46,58498,1065.1,0.308,0.964,4.4,1212.2,0.295
2025-05-21,Marketing,GPT-3.5-Turbo,0.19,97325,393.2,0.244,0.93,4.8,691.6,0.218
2025-05-07,Finance,Gemini-Pro,0.9,44784,1030.2,0.223,0.96,5.45,1089.4,0.236
2025-03-19,Finance,GPT-4,4.36,145459,1251,0.197,0.964,7.6,1044.4,0.209
2025-08-20,Data_Science,Llama-3-70B,0.17,170123,265.6,0.354,0.884,10.6,884.4,0.312
2025-10-01,Marketing,GPT-3.5-Turbo,0.14,67606,433.2,0.369,0.912,2.76,746.6,0.322
2025-03-12,Customer_Support,Llama-3-70B,0.08,78519,327.7,0.188,0.896,2.95,425.2,0.173
2025-03-12,Marketing,GPT-4,2.88,95999,1053.3,0.182,0.98,4.09,679.9,0.202
2025-10-15,Customer_Support,Claude-3-Sonnet,1.29,160970,593.5,0.352,0.941,1.93,429.9,0.359
2025-06-18,Sales,GPT-3.5-Turbo,0.29,145421,387.1,0.279,0.925,2.09,651.7,0.257
2025-02-26,Legal,Claude-3-Opus,1.33,53359,1161.9,0.204,0.96,3.96,1220.4,0.208
2025-02-19,Customer_Support,Llama-3-70B,0.08,78570,315,0.192,0.895,3.09,457.6,0.202
2025-12-24,Customer_Support,Llama-3-70B,0.06,55911,310.1,0.47,0.891,1.91,444.9,0.39
2025-01-15,Finance,Claude-3-Opus,1.57,62671,972.4,0.145,0.953,5.55,1021.9,0.147
2025-08-20,Marketing,Claude-3-Sonnet,0.79,99353,646.8,0.323,0.934,2.99,738.9,0.314
2025-01-08,Marketing,GPT-3.5-Turbo,0.22,107750,360.7,0.137,0.923,4.45,670.7,0.145
2025-11-26,Marketing,GPT-4,2.99,99767,1165.9,0.438,0.968,4.23,766.9,0.398
2025-11-26,Data_Science,Claude-3-Opus,4.75,189885,1074.4,0.439,0.958,12.71,905.9,0.396
2025-12-17,Engineering,Llama-3-70B,0.09,85237,302.2,0.44,0.89,17,800.8,0.422
2025-07-02,Sales,Claude-3-Sonnet,0.7,87521,575.5,0.285,0.944,2.24,699.5,0.271
2025-03-05,Finance,GPT-4,4.11,136990,1249.7,0.216,0.973,7.32,1071.1,0.199
2025-09-10,Customer_Support,Llama-3-70B,0.05,45321,285.1,0.274,0.887,1.84,444,0.291
2025-02-05,Engineering,Claude-3-Sonnet,1.27,158881,661.3,0.185,0.938,17.66,850.9,0.171
2025-10-29,Customer_Support,GPT-3.5-Turbo,0.46,227753,448.4,0.311,0.913,1.51,440.2,0.304
2025-07-02,Data_Science,Claude-3-Opus,5.22,208852,985.2,0.297,0.964,13.9,859,0.291
2025-05-07,Marketing,Claude-3-Sonnet,1.12,140076,673.8,0.217,0.933,3.9,795.9,0.236
2025-07-30,Data_Science,Llama-3-70B,0.2,199098,271,0.33,0.898,14.98,835.9,0.322
2025-05-07,Finance,GPT-4,3.01,100237,1031.8,0.215,0.977,5.45,1089.4,0.236
2025-07-30,Sales,Gemini-Pro,1.03,51643,1149.2,0.352,0.942,1.93,728.5,0.339
2025-07-23,Sales,Gemini-Pro,0.99,49649,1145.1,0.245,0.947,1.84,701.7,0.274
2025-08-13,Engineering,GPT-4,8.16,272026,1032.8,0.248,0.964,14.93,723.3,0.308
2025-01-29,Finance,Claude-3-Opus,1.4,56108,1190.2,0.202,0.954,4.91,1158.9,0.171
2025-03-12,Sales,Claude-3-Sonnet,0.67,83134,580.7,0.168,0.941,2.12,639.6,0.199
2025-03-19,Product,GPT-3.5-Turbo,0.21,104892,349.4,0.214,0.914,12.57,965.2,0.228
2025-08-13,Engineering,Llama-3-70B,0.07,71127,329.3,0.334,0.895,14.93,723.3,0.308
2025-02-05,Product,GPT-4,8.79,292998,1209.3,0.198,0.973,13.28,924.1,0.184
2025-03-26,Engineering,Claude-3-Opus,15.13,605205,955.7,0.191,0.968,44.2,729.5,0.215
2025-07-09,Product,GPT-4,6.33,210978,1079.3,0.225,0.961,10.08,832.1,0.257
2025-08-13,Product,GPT-3.5-Turbo,0.17,84590,362,0.271,0.928,9.07,873.1,0.312
2025-01-15,Customer_Support,Llama-3-70B,0.07,67693,302.2,0.151,0.889,2.49,422.6,0.146
